currentTime,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,activity,fallDetected,fallPrediction,walkingDeterioration
36,0.3,0.78,0.14,79.8,64.65,20.81,2,0,0,1
37,0.27,0.98,0.12,83.16,66.8,15.64,2,0,0,1
38,0.08,0.92,0.18,78.97,23.5,4.84,2,0,0,1
39,0.2,0.94,0.35,69.44,30.02,12.23,2,0,0,1
40,0.28,1.03,0.09,85.24,73.01,15.26,2,0,0,1
41,0.04,0.95,0.16,80.69,14.04,2.35,2,0,0,1
42,0.27,1.02,0.38,69.49,35.54,14.96,2,0,0,1
43,0.34,0.91,0.12,82.63,71.18,20.77,2,0,0,1
44,0.02,0.94,0.1,83.82,12.99,1.43,2,0,0,1
45,0.19,0.95,0.18,79.24,46.22,11.22,2,0,0,1
46,0.17,0.97,0.21,77.72,39.17,10.06,2,0,0,1
47,0.09,0.91,0.21,76.9,22.17,5.42,2,0,0,1
48,0.4,0.92,0.09,84.19,76.76,23.37,2,0,0,1
49,0.42,0.81,0.24,73.4,60.14,27.44,2,0,0,1
50,0.1,0.95,0.23,76.08,23.43,6.13,2,0,0,1
51,0.36,0.94,0.08,85.24,77.74,20.97,2,0,0,1
52,0.39,0.85,0.19,77.58,64.36,24.64,2,0,0,1
53,0.1,0.93,0.2,77.68,26.57,6.23,2,0,0,1
54,0.3,0.92,0.02,88.54,85.49,17.85,2,0,0,1
55,0.38,0.84,0.18,77.87,64.4,24.16,2,0,0,1
56,0.13,1.02,0.15,81.68,41.82,7.45,2,0,0,1
57,0.21,0.92,0.04,87.57,79.51,12.89,2,0,0,1
58,0.37,0.89,0.09,83.99,75.68,22.41,2,0,0,1
59,0.07,0.89,0.13,82.01,29.36,4.51,2,0,0,1
1,0.24,0.86,0.36,67.31,33.98,15.74,1,0,0,0
2,0.24,0.86,0.36,67.31,33.98,15.74,1,0,0,0
3,0.3,0.8,0.38,64.34,38.52,20.92,1,0,0,0
4,0.02,0.96,0.3,72.41,4.4,1.4,2,0,0,0
5,0.32,0.84,0.12,82.02,69.9,20.97,2,0,0,0
6,0.11,0.91,0.27,73.8,22.38,6.82,2,0,0,0
7,0.09,0.89,0.34,69.33,15.59,6.01,2,0,0,0
8,0.3,0.8,0.27,71.73,48.92,20.74,2,0,0,0
9,0.23,0.95,0.34,70.02,34.29,13.92,2,0,0,0
10,0.08,0.9,0.34,69.5,13.09,4.97,2,0,0,0
11,0.34,0.9,0.23,75.85,56.61,20.94,2,0,0,0
12,0.28,0.93,0.36,68.87,38.05,16.83,2,0,0,0
13,0.14,0.85,0.32,69.39,23.7,9.38,2,0,0,0
14,0.3,0.84,0.2,76.46,56.31,19.86,2,0,0,0
15,0.3,0.91,0.31,70.97,43.53,18.14,2,0,0,0
16,0.09,0.94,0.27,73.74,18.92,5.71,2,0,0,0
17,0.27,0.88,0.11,82.87,68.2,17.35,2,0,0,0
18,0.26,0.96,0.13,82.59,64.13,15.02,2,0,0,1
19,0.1,0.91,0.13,81.66,37.41,6.39,2,0,0,1
20,0.28,0.86,-0.06,94.16,102.53,18.12,2,0,0,1
21,0.21,1.02,-0.02,90.87,94.24,11.65,2,0,0,1
22,0.11,0.89,0.05,86.99,66.8,7,2,0,0,1
23,0.28,0.88,0.06,85.91,77.47,17.82,2,0,0,1
24,0.15,0.84,0.07,85.24,64.65,9.98,2,0,0,1
25,0.18,1.02,0.11,83.9,58.67,9.96,2,0,0,1
26,0.34,0.84,0.15,80.02,66.16,21.71,2,0,0,1
27,0.07,0.88,0.06,85.91,48.37,4.59,2,0,0,1
28,0.19,1.02,0.02,89.13,85.24,10.38,2,0,0,1
29,0.28,0.96,0.02,88.6,85.24,16.31,2,0,0,1
30,0.08,0.91,0.12,82.69,33.69,4.89,2,0,0,1
31,0.25,0.78,0.02,88.85,86.42,17.74,2,0,0,1
32,0.23,1.01,0,90,90,12.67,2,0,0,1
33,0.11,0.94,0.03,88.09,74.05,6.65,2,0,0,1
34,0.27,0.83,0.07,85.15,75.58,18.27,2,0,0,1
35,0.09,0.98,0,90,90,5.03,2,0,0,1
36,0.18,1.13,0.02,89.2,85.03,9.07,2,0,0,1
37,0.27,0.9,0.1,83.55,69.08,16.47,2,0,0,1
38,0.05,0.99,0.03,88.2,56.31,2.7,2,0,0,1
39,0.27,0.97,-0.08,94.61,106.39,15.33,2,0,0,1
40,0.21,1.02,0.03,88.25,81.57,11.65,2,0,0,1
41,0.09,0.9,0.1,83.55,40.24,5.46,2,0,0,1
42,0.3,0.86,-0.02,91.04,92.94,19.52,2,0,0,1
43,0.2,0.98,0.04,87.73,79.11,11.66,2,0,0,1
44,0.13,1.04,-0.01,90.43,93.37,7.28,2,0,0,1
45,0.3,0.85,0.12,82.16,68.46,19.22,2,0,0,1
46,0.14,0.84,0.16,79.41,41.99,9.55,2,0,0,1
47,0.24,0.98,-0.02,91.37,95.53,13.93,2,0,0,1
48,0.27,0.99,0.16,80.61,59.04,15.41,2,0,0,1
49,0.12,0.91,0.16,80.22,36.87,7.37,2,0,0,1
50,0.32,0.85,0.14,80.62,66.3,20.61,2,0,0,1
51,0.16,0.94,0.08,85.24,63.43,9.46,2,0,0,1
52,0.13,0.98,0.09,84.97,55.49,7.29,2,0,0,1
53,0.35,0.87,0.09,84.34,76.26,22.07,2,0,0,1
54,0.12,0.91,0.15,80.78,38.29,7.31,2,0,0,1
55,0.34,0.91,0,90,90,20.77,2,0,0,1
56,0.34,0.93,0.13,82.34,69.59,19.87,2,0,0,1
57,0.1,0.98,0.08,85.43,52.43,5.94,2,0,0,1
58,0.2,1.01,0.1,84.25,62.53,10.97,2,0,0,1
