currentTime,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,activity
24,0.13,0.84,-0.58,124.67,167.06,9.03,6
25,0.22,0.84,-0.16,101.1,126.87,14.66,1
26,0.21,0.85,0.28,71.72,36.87,13.91,1
27,0.28,0.87,0.35,67.93,38.66,17.97,1
28,0.25,0.88,0.34,68.55,36.03,15.95,1
29,0.25,0.9,0.33,69.94,37.3,15.55,1
30,0.23,0.91,0.31,70.97,36.87,14.5,1
31,0.25,0.89,0.3,71.11,39.37,15.68,1
32,0.24,0.9,0.29,72.16,39.96,15.09,1
33,0.22,0.91,0.23,75.62,43.03,13.46,1
34,0.12,0.92,0.23,75.74,26.57,7.24,2
35,0.02,0.96,0.19,78.96,4.76,0.93,9
36,0.3,0.95,0.18,79.32,58.82,17.3,2
37,0.41,0.86,0.11,82.75,74.93,25.3,9
38,0.01,0.95,0.27,74.31,1.68,0.47,9
39,0.32,0.87,0.05,86.39,80.31,20.27,9
40,0.37,0.86,0.19,77.69,62.95,23.14,2
41,-0.05,1.02,0.05,86.94,-40.6,-2.62,9
42,0.01,0.93,0.23,75.85,1.91,0.48,9
43,0.34,0.96,0.05,86.74,80.75,19.27,9
44,0.3,0.85,0.22,75.59,53.62,19.22,2
45,0.06,0.88,0.24,74.66,14.47,4.05,9
46,0.3,0.83,-0.02,91.62,94.4,20.2,9
47,0.27,0.9,0.27,73.07,45,16.93,2
48,0.09,0.88,0.28,72.18,16.99,5.61,2
49,0.3,0.84,0.05,86.26,79.56,19.55,9
50,0.32,0.99,0.31,72.52,45.71,17.89,2
51,0.09,0.86,0.26,73.3,19.98,6.23,2
52,0.34,0.88,0.13,81.44,68.43,20.83,9
53,0.27,1.02,0.26,75.76,45.86,14.66,2
54,0.13,0.87,0.27,72.97,26.57,8.71,2
55,0.33,0.84,0.13,81.57,69.15,21.25,9
56,0.25,1,0.38,69.05,33.15,14.04,2
57,0.12,0.85,0.23,74.61,26.57,7.84,2
58,0.25,0.95,0.16,80.23,56.73,14.7,2
59,0.17,1.02,0.26,75.76,33.69,9.61,2
60,0.14,0.94,0.23,75.96,30.96,8.53,2
61,0.32,0.9,0.15,80.62,65.14,19.62,2
62,0.13,1.02,0.14,82.12,43.36,7.45,2
63,0.09,0.93,0.2,78.14,23.75,5.28,2
64,0.32,0.89,0.12,82.5,69.9,19.78,2
65,0.07,0.98,0.21,77.81,18.43,4.12,2
66,0.31,0.83,-0.01,90.54,91.43,20.67,9
67,0.26,0.93,0.06,86.15,76.37,15.5,9
68,0.03,0.98,0.09,84.52,18.43,1.83,9
69,0.09,0.93,0.12,82.82,36.25,5.28,9
70,0.24,0.92,-0.17,100.56,125.36,14.72,5
71,0.12,0.87,-0.34,111.62,161.18,7.7,5
72,0.04,0.84,-0.46,118.87,175.16,2.68,5
73,0,0.76,-0.56,126.59,180,0,5
74,-0.17,0.72,-0.7,134.05,-166.12,-13.45,5
75,-0.09,0.61,-0.66,137.12,-171.87,-8.75,5
76,-0.05,0.74,-0.68,132.48,-175.4,-4.21,5
77,0.13,1.13,-0.13,96.69,135,6.69,5
78,0.25,0.83,0.38,65.64,33.69,16.8,4
79,0.25,0.75,0.6,51.27,22.57,18.43,4
80,0.27,0.74,0.58,52.08,25.31,20.22,4
81,0.27,0.77,0.55,54.35,26.24,19.47,4
82,0.27,0.77,0.53,55.52,26.57,18.95,4
83,0.27,0.78,0.53,55.78,26.57,18.78,4
84,0.27,0.78,0.52,56.18,26.91,18.78,4
85,0.27,0.79,0.53,56.05,26.57,18.6,4
86,0.26,0.78,0.52,56.18,26.22,18.26,4
87,0.27,0.78,0.52,56.18,26.91,18.78,4
88,0.27,0.78,0.53,55.78,26.57,18.78,4
