currentTime,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,activity,fallDetected
48,0.21,0.95,0.02,88.58,83.66,12.58,4,None
49,0.21,0.96,0,90,90,12.38,4,None
50,0.21,0.94,-0.01,90.48,92.12,12.68,4,None
51,0.21,0.95,0.02,89.05,85.76,12.58,4,None
52,0.22,0.94,0.01,89.52,87.95,13.13,4,None
53,0.22,0.94,0,90,90,13.13,4,None
54,0.21,0.95,0.01,89.53,87.88,12.58,4,None
55,0.21,0.94,0.02,89.05,85.76,12.68,4,None
56,0.21,0.93,0,90,90,12.78,4,None
57,0.21,0.95,0,90,90,12.48,4,None
58,0.22,0.94,-0.02,90.95,94.09,13.13,4,None
59,0.21,0.93,-0.01,90.48,92.12,12.78,4,None
60,0.22,0.93,-0.11,96.71,116.57,13.24,6,None
61,0.19,0.86,-0.38,113.57,153.43,12.31,6,None
62,0.15,0.78,-0.61,127.95,166.31,10.76,6,None
63,0.12,0.66,-0.82,141.01,171.87,10.01,6,None
64,0.15,0.71,-0.52,126.36,164.17,11.79,6,None
65,0.26,0.85,0.11,82.68,67.01,16.84,1,Fall predicted!
66,0.23,0.88,0.29,71.87,38.09,14.39,1,Fall predicted!
67,0.26,0.9,0.25,74.45,45.88,16.01,1,None
68,0.27,0.91,0.19,78.41,54.78,16.2,1,None
69,0.26,0.93,0.13,82.34,64.13,15.5,1,None
70,0.26,0.93,0.13,82.34,64.13,15.5,1,None
71,0.26,0.95,0.12,82.93,65.56,15.26,1,None
72,0.26,0.93,0.13,81.87,62.74,15.5,1,None
73,0.26,0.94,0.12,82.87,65.56,15.38,1,None
74,0.26,0.92,0.13,81.8,62.74,15.62,1,None
75,0.24,0.93,0.13,82.34,62.7,14.6,1,None
76,0.26,0.94,0.12,82.87,65.56,15.38,1,None
77,0.26,0.93,0.1,83.77,68.5,15.5,1,None
78,0.27,0.93,0.1,83.77,69.08,15.95,1,None
79,0.26,0.94,0.09,84.29,70.02,15.38,1,None
80,0.26,0.93,0.09,84.24,70.02,15.5,1,None
81,0.26,0.93,0.1,83.77,68.5,15.5,1,None
82,0.26,0.93,0.1,83.77,68.5,15.5,1,None
83,0.27,0.93,0.09,84.72,72.07,15.95,1,None
84,0.26,0.93,0.08,85.2,73.14,15.5,1,None
85,0.26,0.91,0.09,84.14,70.02,15.75,1,None
86,0.24,0.94,0.02,89.05,86.31,14.48,1,None
87,0.12,0.96,-0.02,91.4,101.31,6.95,1,None
88,0.3,0.91,-0.03,91.96,95.86,18.43,1,None
89,0.3,0.92,0.02,88.54,85.6,18.29,1,None
90,0.11,0.92,0.01,89.51,85.91,6.77,1,None
91,0.22,1.01,0.06,86.45,74.05,12.25,2,None
92,0.34,0.88,0.07,85.41,78.18,21,2,None
93,0.2,0.95,0.06,86.25,72.9,12.03,2,None
94,0.17,0.91,0.11,83.18,57.53,10.65,2,None
95,0.34,0.86,-0.08,95.19,103.09,21.35,2,None
96,0.29,0.93,0.06,86.15,77.8,17.27,2,None
97,0.16,0.96,0.07,85.82,66.8,9.69,2,None
98,0.2,0.96,0.02,89.07,85.6,11.94,2,None
99,0.33,0.9,0.02,89,87.27,20.06,2,None
100,0.16,0.91,0.01,89.51,87.27,10.18,2,None
101,0.15,0.97,0.09,84.47,57.72,8.71,2,None
102,0.25,0.9,-0.05,92.99,100.62,15.55,2,None
103,0.26,0.94,0.08,85.24,73.14,15.38,2,None
104,0.13,0.92,0.02,88.54,79.38,7.72,2,None
105,0.15,0.98,0.05,87.25,72.47,8.64,2,None
106,0.29,0.94,0,90,90,17.14,2,None
107,0.21,0.97,0.13,82.19,57.8,12.28,2,None
108,0.17,0.89,0.1,83.49,59.42,10.92,2,None
109,0.2,0.98,0.09,85.01,67.07,11.66,2,None
110,0.35,0.91,0,90,90,21.04,2,None
111,0.26,0.9,0.03,88.01,83.09,16.01,2,None
112,0.19,0.95,0.09,84.34,63.43,11.22,2,None
113,0.27,0.94,0.01,89.52,88.32,15.82,2,None
114,0.35,0.88,0.05,86.96,82.41,21.71,2,None
115,0.13,0.95,-0.02,91.42,100.01,8,2,None
116,0.13,0.98,0.07,85.91,62.1,7.68,2,None
117,0.33,0.96,0.05,86.74,80.54,18.85,2,None
118,0.23,0.98,0.02,89.08,86.19,13.5,2,None
119,0.16,0.9,0.1,83.55,56.98,9.87,2,None
1,0.22,0.7,0.66,46.32,18.23,17.46,4,None
2,0.21,0.7,0.67,45.98,17.43,16.88,4,None
3,0.22,0.69,0.66,45.99,18.23,17.65,4,None
4,0.22,0.7,0.66,46.32,18.23,17.46,4,None
5,0.22,0.69,0.68,45.33,17.84,17.65,4,None
6,0.22,0.7,0.66,46.32,18.23,17.46,4,None
7,0.22,0.7,0.67,45.98,18.03,17.46,4,None
8,0.22,0.7,0.68,45.65,17.84,17.46,4,None
9,0.21,0.7,0.67,46.3,17.43,16.7,4,None
10,0.23,0.69,0.67,45.66,18.63,18.24,4,None
11,0.22,0.7,0.67,45.98,18.03,17.46,4,None
12,0.21,0.7,0.68,45.65,17.24,16.88,4,None
13,0.22,0.7,0.66,46.32,18.23,17.46,4,None
14,0.22,0.7,0.66,46.66,18.43,17.46,4,None
15,0.23,0.7,0.66,46.97,19.05,17.86,4,None
16,0.23,0.7,0.66,46.66,19.05,18.05,4,None
17,0.26,0.77,0.55,54.08,24.93,18.61,4,None
18,0.22,0.86,0.36,67.31,31.33,14.28,4,None
19,0.3,1.08,-0.28,104.62,133.45,15.4,6,Fall predicted!
20,0.21,1.14,-0.42,110.3,153.43,10.48,6,None
21,0.1,0.69,-0.13,100.3,140.91,8.4,6,None
22,0.25,0.87,0.34,68.82,36.66,16.08,1,None
23,0.2,0.87,0.34,68.38,30.58,13.18,1,None
24,0.21,0.9,0.3,71.27,34.7,13.21,1,None
25,0.23,0.88,0.32,70.06,35.27,14.39,1,None
26,0.21,0.89,0.3,71.11,34.7,13.32,1,None
27,0.21,0.9,0.31,70.82,34.02,13.21,1,None
28,0.23,0.9,0.31,70.82,35.94,14.15,1,None
29,0.22,0.89,0.3,71.11,35.68,13.8,1,None
30,0.22,0.89,0.32,70.22,34.33,13.8,1,None
31,0.22,0.89,0.31,70.67,34.99,13.8,1,None
32,0.22,0.88,0.31,70.51,34.99,13.92,1,None
33,0.21,0.89,0.32,70.22,33.37,13.32,1,None
34,0.22,0.89,0.31,70.67,34.99,13.8,1,None
35,0.22,0.88,0.32,70.06,34.33,13.92,1,None
36,0.23,0.9,0.29,72.16,38.09,14.15,1,None
37,0.19,0.91,0.24,75.04,37.75,11.69,2,None
38,0,0.91,0.29,72.45,0,0,2,None
39,0.07,0.98,0.31,72.26,12.68,4.12,2,None
40,0.34,0.91,-0.02,90.99,92.66,20.34,2,None
41,0.27,0.85,0.18,78.08,55.92,17.32,2,None
42,0.33,0.84,0.32,69.21,45.69,21.25,2,None
43,-0.05,0.94,0.13,82.41,-23.63,-3.34,2,None
44,-0.01,0.87,0.26,73.44,-1.74,-0.52,2,None
45,0.14,0.97,0.3,72.96,25.35,8.26,2,None
46,0.29,0.87,0.05,86.39,79.29,18.43,2,None
47,0.05,0.91,0.33,70.1,9.46,3.45,2,None
48,0.34,0.86,0.01,89.48,88.7,21.8,2,None
49,0.26,1,0.17,80.25,56.31,14.46,2,None
50,0.14,0.87,0.24,74.4,30.14,9.21,2,None
51,0.34,0.9,0.13,82.08,70.02,20.94,2,None
52,0.27,1.04,0.36,70.92,37.27,14.74,2,None
53,0.15,0.87,0.29,71.57,27.18,9.71,2,None
54,0.3,0.87,0.12,82.3,68.46,18.9,2,None
55,0.27,0.91,0.27,73.8,45.83,16.65,2,None
56,0.14,0.88,0.3,71.26,25.35,9.13,2,None
57,0.25,0.75,0.15,78.8,59.3,18.43,2,None
58,0.3,0.84,0.27,71.89,48.09,20.03,2,None
