currentTime,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,activity,fallDetected
20,0.44,0.78,0.3,69.19,55.84,29.25,9,FALSE
21,0.19,0.88,0.5,60.26,20.56,12.09,9,FALSE
22,0.44,0.8,0.23,74.28,62.62,28.53,9,FALSE
23,0.32,0.96,0.48,63.25,33.48,18.43,9,FALSE
24,0.03,0.88,0.36,67.67,4.97,2.05,9,FALSE
25,0.38,0.8,0.48,59.12,38.77,25.66,9,FALSE
26,0.04,0.91,0.27,73.8,8.37,2.45,9,FALSE
27,0.27,0.74,0.39,62.24,34.22,19.69,9,FALSE
28,0.01,1.04,0.24,76.88,1.85,0.43,9,FALSE
29,0.14,0.84,0.34,68.29,22.71,9.46,9,FALSE
30,0.46,0.76,0.4,62.27,49.16,31.31,9,FALSE
31,0.02,0.95,0.29,73.13,3.09,0.94,9,FALSE
32,0.3,0.95,0.48,63.06,32.17,17.73,9,FALSE
33,0.44,0.73,0.32,66.21,53.79,31.05,9,FALSE
34,0.04,0.92,0.36,68.7,6.2,2.43,9,FALSE
35,0.39,0.7,0.33,64.98,49.97,29.05,9,FALSE
36,0.06,0.94,0.26,74.62,13.63,3.81,9,FALSE
37,0.12,0.84,0.32,69.21,20.1,7.91,9,FALSE
38,0.42,0.76,0.4,62.27,46.64,29.1,9,FALSE
39,-0.01,0.97,0.16,80.39,-2.73,-0.46,9,FALSE
40,0.27,0.89,0.32,70.22,39.67,16.61,9,FALSE
41,0.23,1.12,0.45,68.27,26.97,11.46,9,FALSE
42,0.04,0.91,0.27,73.21,8.13,2.47,9,FALSE
43,0.38,0.78,0.34,66.73,48.14,25.64,9,FALSE
44,0.04,1.01,0.06,86.45,32.01,2.22,9,FALSE
45,0.29,0.92,0.17,79.44,59.26,17.41,9,FALSE
46,0.35,0.73,0.37,63.43,43.75,25.58,9,FALSE
47,0.02,0.87,0.23,75.36,3.95,1.03,9,FALSE
48,0.34,0.87,0.22,75.84,57.53,21.62,9,FALSE
49,0.16,1.12,0.27,76.25,30.96,8.35,9,FALSE
50,0.16,0.92,0.27,73.48,30.96,10.09,9,FALSE
51,0.38,0.74,0.41,61.31,43.3,27.28,9,FALSE
52,0.07,0.82,0.31,69.15,12.68,4.9,9,FALSE
53,0.22,1.04,0.33,72.47,33.69,11.89,9,FALSE
54,0.22,0.77,0.29,69.32,37.12,15.95,9,FALSE
55,0.31,1.3,-0.31,103.55,135,13.55,8,FALSE
56,0.39,0.89,-0.12,97.5,106.7,23.68,8,FALSE
57,0.17,0.74,-0.46,121.84,159.55,13.04,8,FALSE
58,0,0.67,-0.11,99.25,180,0,8,FALSE
59,-0.05,0.95,-0.14,98.39,-158.75,-3.28,8,FALSE
0,-0.02,0.94,0.08,85.24,-16.7,-1.43,8,FALSE
1,0.1,0.93,0.12,82.82,40.91,6.23,8,FALSE
2,0.23,0.9,0.23,75.38,44.03,14.15,9,FALSE
3,0.3,0.77,0.41,61.84,36.35,21.5,1,FALSE
4,0.29,0.75,0.58,52.37,26.57,21.08,1,FALSE
5,0.29,0.75,0.58,52.37,26.57,21.08,1,FALSE
6,0.3,0.74,0.52,54.81,29.56,21.8,1,FALSE
7,0.13,0.72,0.52,53.94,14.24,10.47,1,FALSE
8,0.45,1.03,0.39,69.25,48.74,23.36,2,FALSE
9,0.37,0.79,0.44,60.99,40.01,24.95,2,FALSE
10,0.11,0.97,0.5,62.7,12.34,6.44,2,FALSE
11,0.07,0.86,0.41,64.27,9.64,4.68,2,FALSE
12,0.27,0.84,0.4,64.52,33.69,17.63,2,FALSE
13,0.34,0.84,0.3,70.62,48.53,21.71,2,FALSE
14,0.03,0.96,0.2,78.06,8.75,1.86,2,FALSE
15,0.27,0.94,0.27,73.74,45,16.26,2,FALSE
16,0.41,0.84,0.28,71.4,55.81,26.35,2,FALSE
17,0.29,0.75,0.55,53.51,27.53,21.08,2,FALSE
